,occurtime,power
408,2020-12-11 14:20:00,125.2
409,2020-12-11 14:25:00,0.0
410,2020-12-11 14:30:00,0.0
411,2020-12-11 14:35:00,0.0
412,2020-12-11 14:40:00,0.0
413,2020-12-11 14:45:00,130.08
414,2020-12-11 14:50:00,124.72
415,2020-12-11 14:55:00,123.36
416,2020-12-11 15:00:00,0.0
417,2020-12-11 15:05:00,0.0
418,2020-12-11 15:10:00,0.0
419,2020-12-11 15:15:00,0.0
420,2020-12-11 15:20:00,127.44
421,2020-12-11 15:25:00,124.4
422,2020-12-11 15:30:00,123.36
423,2020-12-11 15:35:00,0.0
424,2020-12-11 15:40:00,0.0
425,2020-12-11 15:45:00,0.0
426,2020-12-11 15:50:00,0.0
427,2020-12-11 15:55:00,127.04
428,2020-12-11 16:00:00,123.92
429,2020-12-11 16:05:00,120.96
430,2020-12-11 16:10:00,0.0
431,2020-12-11 16:15:00,0.0
432,2020-12-11 16:20:00,0.0
433,2020-12-11 16:25:00,0.0
434,2020-12-11 16:30:00,129.36
435,2020-12-11 16:35:00,123.68
436,2020-12-11 16:40:00,122.08
437,2020-12-11 16:45:00,0.0
438,2020-12-11 16:50:00,0.0
439,2020-12-11 16:55:00,0.0
440,2020-12-11 17:00:00,0.0
441,2020-12-11 17:05:00,124.96
442,2020-12-11 17:10:00,121.84
443,2020-12-11 17:15:00,121.2
444,2020-12-11 17:20:00,0.0
445,2020-12-11 17:25:00,0.0
446,2020-12-11 17:30:00,0.0
447,2020-12-11 17:35:00,147.76
448,2020-12-11 17:40:00,124.8
449,2020-12-11 17:45:00,122.24
450,2020-12-11 17:50:00,120.8
451,2020-12-11 17:55:00,0.0
452,2020-12-11 18:00:00,0.0
453,2020-12-11 18:05:00,0.0
454,2020-12-11 18:10:00,0.0
455,2020-12-11 18:15:00,125.28
456,2020-12-11 18:20:00,121.92
457,2020-12-11 18:25:00,120.56
458,2020-12-11 18:30:00,0.0
459,2020-12-11 18:35:00,0.0
460,2020-12-11 18:40:00,0.0
461,2020-12-11 18:45:00,0.0
462,2020-12-11 18:50:00,129.6
463,2020-12-11 18:55:00,129.12
464,2020-12-11 19:00:00,126.64
465,2020-12-11 19:05:00,125.2
466,2020-12-11 19:10:00,122.48
467,2020-12-11 19:15:00,0.0
468,2020-12-11 19:20:00,0.0
469,2020-12-11 19:25:00,0.0
470,2020-12-11 19:30:00,136.16
471,2020-12-11 19:35:00,126.08
472,2020-12-11 19:40:00,122.88
473,2020-12-11 19:45:00,120.4
474,2020-12-11 19:50:00,0.0
475,2020-12-11 19:55:00,0.0
476,2020-12-11 20:00:00,0.0
477,2020-12-11 20:05:00,0.0
478,2020-12-11 20:10:00,128.8
479,2020-12-11 20:20:00,122.4
480,2020-12-11 20:25:00,0.0
481,2020-12-11 20:30:00,0.0
482,2020-12-11 20:35:00,0.0
483,2020-12-11 20:40:00,0.0
484,2020-12-11 20:45:00,128.88
485,2020-12-11 20:50:00,124.72
486,2020-12-11 20:55:00,123.28
487,2020-12-11 21:00:00,0.0
488,2020-12-11 21:05:00,0.0
489,2020-12-11 21:10:00,0.0
490,2020-12-11 21:15:00,0.0
491,2020-12-11 21:20:00,127.2
492,2020-12-11 21:25:00,126.48
493,2020-12-11 21:30:00,125.28
494,2020-12-11 21:35:00,122.88
495,2020-12-11 21:40:00,0.0
496,2020-12-11 21:45:00,0.0
497,2020-12-11 21:50:00,0.0
498,2020-12-11 21:55:00,137.04
499,2020-12-11 22:00:00,128.8
