occurtime,power
2020-12-29_21:45:00,90.64
2020-12-29_21:50:00,90.56
2020-12-29_21:55:00,91.04
2020-12-29_22:00:00,89.52
2020-12-29_22:05:00,89.2
2020-12-29_22:10:00,89.36
2020-12-29_22:15:00,88.96
2020-12-29_22:20:00,88.72
2020-12-29_22:25:00,89.44
2020-12-29_22:30:00,89.36
2020-12-29_22:35:00,89.12
2020-12-29_22:40:00,89.36
2020-12-29_22:45:00,0.0
2020-12-29_22:50:00,0.0
2020-12-29_22:55:00,0.0
2020-12-29_23:00:00,0.0
2020-12-29_23:05:00,0.0
2020-12-29_23:10:00,0.0
2020-12-29_23:15:00,99.6
2020-12-29_23:20:00,98.24
2020-12-29_23:25:00,95.76
2020-12-29_23:30:00,91.84
2020-12-29_23:35:00,89.68
2020-12-29_23:40:00,88.64
2020-12-29_23:45:00,89.2
2020-12-29_23:50:00,88.88
2020-12-29_23:55:00,88.32
2020-12-30_00:00:00,87.2
2020-12-30_00:05:00,87.92
2020-12-30_00:10:00,87.92
2020-12-30_00:15:00,88.8
2020-12-30_00:20:00,89.84
2020-12-30_00:25:00,89.68
2020-12-30_00:30:00,88.8
2020-12-30_00:35:00,87.36
2020-12-30_00:40:00,88.48
2020-12-30_00:45:00,90.8
2020-12-30_00:50:00,90.0
2020-12-30_00:55:00,88.72
2020-12-30_01:00:00,88.64
2020-12-30_01:05:00,87.76
2020-12-30_01:10:00,88.64
2020-12-30_01:15:00,88.88
2020-12-30_01:20:00,89.04
2020-12-30_01:25:00,91.04
2020-12-30_01:30:00,91.2
2020-12-30_01:35:00,89.92
2020-12-30_01:40:00,91.36
2020-12-30_01:45:00,92.0
2020-12-30_01:50:00,90.56
2020-12-30_01:55:00,90.32
2020-12-30_02:00:00,90.64
2020-12-30_02:05:00,90.96
2020-12-30_02:10:00,91.04
2020-12-30_02:15:00,90.96
2020-12-30_02:20:00,90.24
2020-12-30_02:25:00,89.28
2020-12-30_02:30:00,89.12
2020-12-30_02:35:00,89.68
2020-12-30_02:40:00,90.88
2020-12-30_02:45:00,91.68
2020-12-30_02:50:00,90.56
2020-12-30_02:55:00,90.48
2020-12-30_03:00:00,90.48
2020-12-30_03:05:00,90.88
2020-12-30_03:10:00,91.44
2020-12-30_03:15:00,91.2
2020-12-30_03:20:00,91.44
2020-12-30_03:25:00,91.2
2020-12-30_03:30:00,91.36
2020-12-30_03:35:00,90.88
2020-12-30_03:40:00,90.88
2020-12-30_03:45:00,90.64
2020-12-30_03:50:00,90.88
2020-12-30_03:55:00,91.44
2020-12-30_04:00:00,92.48
2020-12-30_04:05:00,90.56
2020-12-30_04:10:00,90.64
2020-12-30_04:15:00,91.28
2020-12-30_04:20:00,90.72
2020-12-30_04:25:00,91.44
2020-12-30_04:30:00,90.56
2020-12-30_04:35:00,91.28
2020-12-30_04:40:00,91.04
2020-12-30_04:45:00,90.56
2020-12-30_04:50:00,92.16
2020-12-30_04:55:00,91.28
2020-12-30_05:00:00,92.32
2020-12-30_05:05:00,92.16
2020-12-30_05:10:00,89.92
2020-12-30_05:15:00,89.68
2020-12-30_05:20:00,89.44
2020-12-30_05:25:00,90.72
2020-12-30_05:30:00,91.92
2020-12-30_05:35:00,89.36
2020-12-30_05:40:00,90.8
2020-12-30_05:45:00,90.56
2020-12-30_05:50:00,89.92
2020-12-30_05:55:00,89.84
2020-12-30_06:00:00,88.08
2020-12-30_06:05:00,87.12
2020-12-30_06:10:00,89.28
2020-12-30_06:15:00,89.84
2020-12-30_06:20:00,90.24
2020-12-30_06:25:00,89.6
2020-12-30_06:30:00,90.32
2020-12-30_06:35:00,90.32
2020-12-30_06:40:00,90.8
2020-12-30_06:45:00,92.16
2020-12-30_06:50:00,90.24
2020-12-30_06:55:00,91.76
2020-12-30_07:00:00,91.2
2020-12-30_07:05:00,91.36
2020-12-30_07:10:00,91.2
2020-12-30_07:15:00,91.44
2020-12-30_07:20:00,91.28
2020-12-30_07:25:00,91.2
2020-12-30_07:30:00,91.2
2020-12-30_07:35:00,91.36
2020-12-30_07:40:00,92.32
2020-12-30_07:45:00,92.32
2020-12-30_07:50:00,92.16
2020-12-30_07:55:00,91.92
2020-12-30_08:00:00,92.56
2020-12-30_08:05:00,93.04
2020-12-30_08:10:00,92.4
2020-12-30_08:15:00,93.36
2020-12-30_08:20:00,93.04
2020-12-30_08:25:00,92.32
2020-12-30_08:30:00,92.32
2020-12-30_08:35:00,91.92
2020-12-30_08:40:00,91.52
2020-12-30_08:45:00,92.72
2020-12-30_08:50:00,92.88
2020-12-30_08:55:00,92.8
2020-12-30_09:00:00,93.76
2020-12-30_09:05:00,93.12
2020-12-30_09:10:00,93.04
2020-12-30_09:15:00,92.64
2020-12-30_09:20:00,93.04
2020-12-30_09:25:00,92.8
2020-12-30_09:30:00,92.8
2020-12-30_09:35:00,92.72
2020-12-30_09:40:00,93.2
2020-12-30_09:45:00,93.44
2020-12-30_09:50:00,92.48
2020-12-30_09:55:00,92.88
2020-12-30_10:00:00,92.88
2020-12-30_10:05:00,92.96
2020-12-30_10:10:00,92.24
2020-12-30_10:15:00,92.24
2020-12-30_10:20:00,92.32
2020-12-30_10:25:00,92.24
2020-12-30_10:30:00,92.48
2020-12-30_10:35:00,92.48
2020-12-30_10:40:00,92.96
2020-12-30_10:45:00,92.32
2020-12-30_10:50:00,92.64
2020-12-30_10:55:00,92.64
2020-12-30_11:00:00,92.56
2020-12-30_11:05:00,92.16
2020-12-30_11:10:00,92.72
2020-12-30_11:15:00,92.48
2020-12-30_11:20:00,92.0
2020-12-30_11:25:00,91.44
2020-12-30_11:30:00,91.28
2020-12-30_11:35:00,91.92
2020-12-30_11:40:00,92.16
2020-12-30_11:45:00,91.92
2020-12-30_11:50:00,92.16
2020-12-30_11:55:00,92.72
2020-12-30_12:00:00,92.64
2020-12-30_12:05:00,92.4
2020-12-30_12:10:00,91.92
2020-12-30_12:15:00,91.36
2020-12-30_12:20:00,92.4
2020-12-30_12:25:00,92.0
2020-12-30_12:30:00,91.28
2020-12-30_12:35:00,91.04
2020-12-30_12:40:00,91.52
2020-12-30_12:45:00,92.16
2020-12-30_12:50:00,92.0
2020-12-30_12:55:00,92.0
2020-12-30_13:00:00,92.08
2020-12-30_13:05:00,90.96
2020-12-30_13:10:00,89.52
2020-12-30_13:15:00,90.24
2020-12-30_13:20:00,91.44
2020-12-30_13:25:00,91.04
2020-12-30_13:30:00,90.88
2020-12-30_13:35:00,90.16
2020-12-30_13:40:00,89.84
2020-12-30_13:45:00,90.24
2020-12-30_13:50:00,91.36
2020-12-30_13:55:00,89.44
2020-12-30_14:00:00,90.48
2020-12-30_14:05:00,90.08
2020-12-30_14:10:00,91.2
2020-12-30_14:15:00,91.36
2020-12-30_14:20:00,90.48
2020-12-30_14:25:00,90.08
2020-12-30_14:30:00,90.96
2020-12-30_14:35:00,91.12
2020-12-30_14:40:00,90.16
2020-12-30_14:45:00,90.08
2020-12-30_14:50:00,90.64
2020-12-30_14:55:00,90.0
2020-12-30_15:00:00,90.64
2020-12-30_15:05:00,91.6
2020-12-30_15:10:00,91.76
2020-12-30_15:15:00,91.44
2020-12-30_15:20:00,90.4
2020-12-30_15:25:00,91.04
2020-12-30_15:30:00,91.44
2020-12-30_15:35:00,90.8
2020-12-30_15:40:00,91.04
2020-12-30_15:45:00,92.0
2020-12-30_15:50:00,91.6
2020-12-30_15:55:00,91.6
2020-12-30_16:00:00,91.36
2020-12-30_16:10:00,90.08
2020-12-30_16:15:00,90.72
2020-12-30_16:20:00,92.16
2020-12-30_16:25:00,92.0
2020-12-30_16:30:00,92.4
2020-12-30_16:35:00,91.36
2020-12-30_16:40:00,91.04
2020-12-30_16:45:00,91.52
2020-12-30_16:50:00,91.04
2020-12-30_16:55:00,91.84
2020-12-30_17:00:00,91.68
2020-12-30_17:05:00,90.8
2020-12-30_17:10:00,89.92
2020-12-30_17:15:00,90.0
2020-12-30_17:20:00,90.8
2020-12-30_17:25:00,90.64
2020-12-30_17:30:00,90.72
2020-12-30_17:35:00,90.72
2020-12-30_17:40:00,91.36
2020-12-30_17:45:00,91.2
2020-12-30_17:50:00,91.04
2020-12-30_17:55:00,92.0
2020-12-30_18:00:00,90.64
2020-12-30_18:05:00,90.4
2020-12-30_18:10:00,91.52
2020-12-30_18:15:00,91.92
2020-12-30_18:20:00,91.84
2020-12-30_18:25:00,90.8
2020-12-30_18:30:00,91.12
2020-12-30_18:35:00,91.04
2020-12-30_18:40:00,91.2
2020-12-30_18:45:00,90.56
2020-12-30_18:50:00,89.68
2020-12-30_18:55:00,89.52
2020-12-30_19:00:00,88.8
2020-12-30_19:05:00,89.12
2020-12-30_19:10:00,90.0
2020-12-30_19:15:00,90.96
2020-12-30_19:20:00,90.64
2020-12-30_19:25:00,90.72
2020-12-30_19:30:00,89.76
2020-12-30_19:35:00,89.68
2020-12-30_19:40:00,90.32
2020-12-30_19:45:00,90.48
2020-12-30_19:50:00,90.16
2020-12-30_19:55:00,90.56
2020-12-30_20:00:00,90.24
2020-12-30_20:05:00,89.92
2020-12-30_20:10:00,89.28
2020-12-30_20:15:00,89.68
2020-12-30_20:20:00,89.28
2020-12-30_20:25:00,90.08
2020-12-30_20:30:00,90.64
2020-12-30_20:35:00,89.68
