occurtime,power
2021-01-16_23:55:00,45.68
2021-01-17_00:00:00,3.44
2021-01-17_00:05:00,3.39
2021-01-17_00:10:00,3.36
2021-01-17_00:15:00,3.36
2021-01-17_00:20:00,3.44
2021-01-17_00:25:00,3.44
2021-01-17_00:35:00,3.44
2021-01-17_00:40:00,3.44
2021-01-17_00:45:00,3.44
2021-01-17_00:50:00,3.42
2021-01-17_00:55:00,3.44
2021-01-17_01:00:00,3.6
2021-01-17_01:05:00,3.44
2021-01-17_01:10:00,3.52
2021-01-17_01:15:00,3.44
2021-01-17_01:20:00,3.44
2021-01-17_01:25:00,3.44
2021-01-17_01:30:00,3.36
2021-01-17_01:35:00,3.44
2021-01-17_01:40:00,3.44
2021-01-17_01:45:00,3.44
2021-01-17_01:50:00,3.44
2021-01-17_01:55:00,3.44
2021-01-17_02:00:00,3.44
2021-01-17_02:05:00,3.44
2021-01-17_02:10:00,3.52
2021-01-17_02:20:00,3.44
2021-01-17_02:25:00,3.52
2021-01-17_02:30:00,3.44
2021-01-17_02:35:00,3.52
2021-01-17_02:40:00,3.44
2021-01-17_02:45:00,3.44
2021-01-17_02:50:00,3.44
2021-01-17_02:55:00,3.44
2021-01-17_03:00:00,3.31
2021-01-17_03:05:00,3.44
2021-01-17_03:10:00,3.35
2021-01-17_03:15:00,3.44
2021-01-17_03:20:00,3.44
2021-01-17_03:25:00,3.52
2021-01-17_03:30:00,3.44
2021-01-17_03:35:00,3.44
2021-01-17_03:40:00,3.44
2021-01-17_03:45:00,3.44
2021-01-17_03:50:00,3.52
2021-01-17_04:00:00,3.44
2021-01-17_04:05:00,3.52
2021-01-17_04:10:00,3.44
2021-01-17_04:15:00,3.68
2021-01-17_04:20:00,3.44
2021-01-17_04:25:00,3.44
2021-01-17_04:30:00,3.44
2021-01-17_04:35:00,3.44
2021-01-17_04:40:00,3.36
2021-01-17_04:45:00,3.44
2021-01-17_04:50:00,3.44
2021-01-17_04:55:00,3.42
2021-01-17_05:00:00,3.44
2021-01-17_05:05:00,3.4
2021-01-17_05:10:00,3.4
2021-01-17_05:15:00,3.37
2021-01-17_05:20:00,3.36
2021-01-17_05:25:00,3.36
2021-01-17_05:30:00,3.41
