occurtime,power
2020-12-11_20:20:00,122.4
2020-12-11_20:25:00,0.0
2020-12-11_20:30:00,0.0
2020-12-11_20:35:00,0.0
2020-12-11_20:40:00,0.0
2020-12-11_20:45:00,128.88
2020-12-11_20:50:00,124.72
2020-12-11_20:55:00,123.28
2020-12-11_21:00:00,0.0
2020-12-11_21:05:00,0.0
2020-12-11_21:10:00,0.0
2020-12-11_21:15:00,0.0
2020-12-11_21:20:00,127.2
2020-12-11_21:25:00,126.48
2020-12-11_21:30:00,125.28
2020-12-11_21:35:00,122.88
2020-12-11_21:40:00,0.0
2020-12-11_21:45:00,0.0
2020-12-11_21:50:00,0.0
2020-12-11_21:55:00,137.04
2020-12-11_22:00:00,128.8
2020-12-11_22:05:00,126.48
2020-12-11_22:10:00,126.08
2020-12-11_22:15:00,0.0
2020-12-11_22:20:00,0.0
2020-12-11_22:25:00,0.0
2020-12-11_22:30:00,0.0
2020-12-11_22:35:00,130.64
2020-12-11_22:40:00,125.76
2020-12-11_22:45:00,124.32
2020-12-11_22:50:00,0.0
2020-12-11_22:55:00,0.0
2020-12-11_23:00:00,0.0
2020-12-11_23:05:00,0.0
2020-12-11_23:10:00,128.56
2020-12-11_23:15:00,125.04
2020-12-11_23:20:00,121.44
2020-12-11_23:25:00,0.0
2020-12-11_23:30:00,0.0
2020-12-11_23:35:00,0.0
2020-12-11_23:40:00,0.0
2020-12-11_23:45:00,127.52
2020-12-11_23:50:00,123.44
2020-12-11_23:55:00,120.4
2020-12-12_00:00:00,0.0
2020-12-12_00:05:00,0.0
2020-12-12_00:10:00,0.0
2020-12-12_00:15:00,0.0
2020-12-12_00:20:00,128.48
2020-12-12_00:25:00,125.52
2020-12-12_00:30:00,122.72
2020-12-12_00:35:00,120.56
2020-12-12_00:40:00,0.0
2020-12-12_00:45:00,0.0
2020-12-12_00:50:00,0.0
2020-12-12_00:55:00,0.0
2020-12-12_01:00:00,126.8
2020-12-12_01:05:00,123.2
2020-12-12_01:10:00,119.28
2020-12-12_01:15:00,0.0
2020-12-12_01:20:00,0.0
2020-12-12_01:25:00,0.0
2020-12-12_01:30:00,0.0
2020-12-12_01:35:00,133.12
2020-12-12_01:40:00,127.28
2020-12-12_01:45:00,123.84
2020-12-12_01:50:00,121.28
2020-12-12_01:55:00,8.4
2020-12-12_02:00:00,0.0
2020-12-12_02:05:00,0.0
2020-12-12_02:10:00,152.64
2020-12-12_02:15:00,126.48
2020-12-12_02:20:00,124.72
2020-12-12_02:25:00,122.32
2020-12-12_02:30:00,120.48
2020-12-12_02:40:00,166.64
2020-12-12_02:45:00,165.2
2020-12-12_02:50:00,162.32
2020-12-12_02:55:00,168.24
2020-12-12_03:00:00,171.6
2020-12-12_03:05:00,1.07
2020-12-12_03:10:00,1.06
2020-12-12_03:15:00,147.2
2020-12-12_03:20:00,150.48
2020-12-12_03:25:00,147.6
2020-12-12_03:30:00,138.96
2020-12-12_03:35:00,135.28
2020-12-12_03:40:00,131.28
2020-12-12_03:45:00,129.36
2020-12-12_03:50:00,127.44
2020-12-12_04:00:00,125.28
2020-12-12_04:05:00,122.48
2020-12-12_04:10:00,122.8
2020-12-12_04:15:00,121.36
2020-12-12_04:20:00,120.4
2020-12-12_04:25:00,120.88
2020-12-12_04:30:00,0.0
2020-12-12_04:35:00,0.0
2020-12-12_04:40:00,0.0
2020-12-12_04:45:00,0.0
2020-12-12_04:50:00,129.68
2020-12-12_04:55:00,126.72
2020-12-12_05:00:00,125.04
2020-12-12_05:05:00,121.52
2020-12-12_05:10:00,121.12
2020-12-12_05:15:00,0.0
2020-12-12_05:20:00,0.0
2020-12-12_05:25:00,0.0
2020-12-12_05:30:00,128.4
2020-12-12_05:40:00,123.44
2020-12-12_05:45:00,120.88
2020-12-12_05:50:00,119.36
2020-12-12_05:55:00,0.0
2020-12-12_06:00:00,0.0
2020-12-12_06:05:00,0.0
2020-12-12_06:10:00,132.56
2020-12-12_06:15:00,123.12
2020-12-12_06:20:00,122.24
2020-12-12_06:25:00,121.44
2020-12-12_06:30:00,0.0
2020-12-12_06:35:00,0.0
2020-12-12_06:40:00,0.0
2020-12-12_06:45:00,0.0
2020-12-12_06:50:00,128.72
2020-12-12_06:55:00,123.6
2020-12-12_07:00:00,123.68
2020-12-12_07:05:00,0.0
2020-12-12_07:10:00,0.0
2020-12-12_07:15:00,0.0
2020-12-12_07:20:00,0.0
2020-12-12_07:25:00,130.0
2020-12-12_07:30:00,125.44
2020-12-12_07:35:00,123.6
2020-12-12_07:40:00,122.24
2020-12-12_07:45:00,0.0
2020-12-12_07:50:00,0.0
2020-12-12_07:55:00,0.0
2020-12-12_08:00:00,130.8
2020-12-12_08:05:00,123.44
2020-12-12_08:10:00,126.64
2020-12-12_08:15:00,138.4
2020-12-12_08:20:00,124.16
2020-12-12_08:25:00,0.0
2020-12-12_08:30:00,0.0
2020-12-12_08:35:00,0.0
2020-12-12_08:40:00,163.04
2020-12-12_08:45:00,130.0
2020-12-12_08:50:00,127.84
2020-12-12_08:55:00,125.6
2020-12-12_09:00:00,124.8
